District,NetAreaIrrigated_Wells_NetAreaIrrigated_179,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea_182,NetAreaIrrigatedUnderDifferentSources_LiftIrrigation_No_183,AreaUnderCereals_Maize_193,MotorVehicles_Tractors_514,TotalAgricultureLoan,TotalNPK_315,Maize_Production_226,MediumAgricultureLandHoldings_TotalInstitutionsArea_1108
BENGALURU,0,9348,0,1129,14638,5214.67,23310,2879,113
BENGALURU(R),741,20281,1,14867,981,21753.35,19259,42583,5
RAMANAGARA,0,23868,4,1987,11407,31203.85,7472,10450,40
CHITRADURGA,0,92506,107,92194,18587,123911.81,35884,271975,447
DAVANAGERE,860,78364,1562,173400,32337,106009.65,99644,593544,1016
KOLAR,0,20140,0,640,16855,77685.4,22190,1759,104
CHIKKABALLAPURA,0,50370,21,59377,11411,59548.93,28357,105491,273
SHIVAMOGGA,6400,32347,4152,43827,17941,102016.08,56609,226532,210
TUMAKURU,901,144708,9,24207,26534,147446.57,38148,66868,138
CHIKKAMAGALURU,173,26174,4075,25831,15882,79357.11,67863,61353,733
DAKSHINA KANNADA,42026,16589,8,0,7388,81653.32,18588,0,362
UDUPI,23804,699,2245,8,4328,27941.62,6148,109,310
HASSAN,504,23393,20,79058,23091,109489.9,68431,333937,490
KODAGU,0,106,11,3448,6835,50846.95,40947,17921,263
MANDYA,5485,16025,89,4892,11589,95985.22,60558,19387,673
MYSURU,10244,19842,3,37283,20112,101468.48,62014,137154,419
CHAMARAJANAGAR,1870,44070,5,38569,3685,29582.5,23803,147886,243
BELAGAVI,137331,139708,6503,131163,46442,287351.73,179992,576758,251
VIJAYAPURA,72980,113515,2,40207,24819,218820.05,54228,226327,76
BAGALKOT,4929,117497,19,44300,24117,220721.91,84812,251699,113
DHARAWAD,0,20816,0,30900,14291,78464.14,37381,90634,195
GADAG,373,41664,12,34163,27940,82462.9,23280,138476,309
HAVERI,20,63016,10529,170696,15690,103193.56,65001,413487,289
UTTARA KANNADA,10395,8460,16,4576,4638,71656.74,15316,24088,184
BALLARI,3037,75198,3597,99739,24001,216744.25,123329,208090,1070
BIDAR,17376,19908,2153,1382,5256,128756.98,24658,2791,252
KALABURAGI,11844,48802,114,2634,16351,148797.7,53999,14621,449
YADGIRI,10692,22035,2381,961,9902,51838.27,91389,2673,77
RAICHUR,14166,26571,5152,2600,25612,148633.91,117235,723,14
KOPPAL,0,82552,10,48210,16317,71493.82,73552,190252,71
