District,Impact Score Rice_Production_223 (TotalNPK_315 +10%),Impact Score Rice_Production_223 (TotalNPK_315 -10%),Impact Score Rice_Production_223 (TotalNPK_315 +20%),Impact Score Rice_Production_223 (TotalNPK_315 -20%)
BENGALURU,0.09872069211476955,0.9012793078852301,0.09872069211476968,0.9012793078852304
BENGALURU(R),0.07541819102183583,0.9245818089781647,0.07541819102183575,0.9245818089781642
RAMANAGARA,0.007616023561353866,0.9923839764386462,0.007616023561353845,0.9923839764386461
CHITRADURGA,0.17104990681300486,0.8289500931869955,0.17104990681300475,0.8289500931869953
DAVANAGERE,0.5378155127585645,0.46218448724143424,0.5378155127585647,0.4621844872414349
KOLAR,0.09227813441936453,0.9077218655806356,0.09227813441936454,0.9077218655806354
CHIKKABALLAPURA,0.12775246772968862,0.872247532270311,0.12775246772968885,0.8722475322703112
SHIVAMOGGA,0.2902659855962816,0.7097340144037179,0.2902659855962817,0.7097340144037181
TUMAKURU,0.1840730770115737,0.8159269229884266,0.18407307701157377,0.8159269229884264
CHIKKAMAGALURU,0.3550021858677897,0.64499781413221,0.3550021858677894,0.6449978141322101
DAKSHINA KANNADA,0.07155840868824939,0.9284415913117507,0.07155840868824923,0.9284415913117507
UDUPI,0.0,1.0,0.0,0.9999999999999999
HASSAN,0.3582694829847454,0.641730517015255,0.35826948298474487,0.6417305170152547
KODAGU,0.20017371896642971,0.7998262810335702,0.20017371896642977,0.7998262810335702
MANDYA,0.3129817537562411,0.6870182462437586,0.3129817537562409,0.6870182462437586
MYSURU,0.3213570787602683,0.6786429212397321,0.3213570787602681,0.6786429212397322
CHAMARAJANAGAR,0.10155656795747928,0.8984434320425208,0.10155656795747912,0.8984434320425209
BELAGAVI,0.9999999999999999,0.0,0.9999999999999999,0.0
VIJAYAPURA,0.27656979820988997,0.7234302017901109,0.2765697982098893,0.7234302017901106
BAGALKOT,0.4524976415637015,0.5475023584362988,0.45249764156370054,0.547502358436299
DHARAWAD,0.17966107544695273,0.8203389245530476,0.17966107544695242,0.8203389245530476
GADAG,0.09854812360507129,0.9014518763949289,0.09854812360507122,0.9014518763949286
HAVERI,0.3385391500425675,0.6614608499574329,0.3385391500425669,0.6614608499574333
UTTARA KANNADA,0.052736936563815846,0.9472630634361842,0.052736936563815756,0.947263063436184
BALLARI,0.6740583511654139,0.32594164883458676,0.6740583511654124,0.32594164883458754
BIDAR,0.10647477048388213,0.8935252295161179,0.10647477048388217,0.8935252295161178
KALABURAGI,0.2752525252525254,0.7247474747474745,0.27525252525252514,0.7247474747474747
YADGIRI,0.49033041117323606,0.5096695888267642,0.4903304111732355,0.509669588826764
RAICHUR,0.639003934562021,0.36099606543797835,0.6390039345620208,0.36099606543797835
KOPPAL,0.38772692759025357,0.612273072409746,0.3877269275902533,0.6122730724097466
