District,Rice_Production_223 (TotalNPK_315 +20%),Rice_Production_223 (TotalNPK_315 -20%),Normalized Rice_Production_223 (TotalNPK_315 +20%),Normalized Rice_Production_223 (TotalNPK_315 -20%),New Stability(NPK + 20%),New Stability(NPK - 20%),Jowar_Yield_278 (TotalNPK_315 +20%),Jowar_Yield_278 (TotalNPK_315 -20%),Normalized Jowar_Yield_278 (TotalNPK_315 +20%),Normalized Jowar_Yield_278 (TotalNPK_315 -20%)
BENGALURU,73964.70948304117,52021.94839499796,0.0987206921147696,0.9012793078852304,0.9597167575527484,0.9597167575527487,639.0449464126466,547.5374307133687,0.09872069211476961,0.9012793078852304
BENGALURU(R),62524.538933792384,44395.16802883211,0.0754181910218357,0.9245818089781642,0.9733301120544856,0.9733301120544856,591.3362017411183,515.7316009323499,0.07541819102183564,0.9245818089781643
RAMANAGARA,29237.624526486696,22203.891757294987,0.0076160235613538,0.992383976438646,0.853065967188974,0.8530659671889742,452.5203603579281,423.1877066768897,0.007616023561353984,0.992383976438646
CHITRADURGA,109474.14036091184,75694.90231357842,0.1710499068130047,0.8289500931869953,0.7333126251121697,0.7333126251121694,787.1293096562399,646.260339542431,0.17104990681300497,0.8289500931869954
DAVANAGERE,289534.6869469651,195735.26670428063,0.5378155127585647,0.4621844872414349,0.8279676031384464,0.8279676031384461,1538.0326817265045,1146.862587589274,0.5378155127585653,0.4621844872414349
KOLAR,70801.78896584574,49913.334716867685,0.0922781344193645,0.9077218655806354,0.9916476841305998,0.9916476841305999,625.8546738794173,538.7439156912159,0.09227813441936433,0.9077218655806354
CHIKKABALLAPURA,88217.62006365301,61523.88878207252,0.1277524677296888,0.8722475322703112,0.9895039997545692,0.9895039997545693,698.4836120155109,587.163207781945,0.12775246772968868,0.8722475322703114
SHIVAMOGGA,168002.29010990736,114713.66881290876,0.2902659855962817,0.7097340144037181,0.9665527714502656,0.9665527714502655,1031.2082366662185,808.97962421575,0.2902659855962819,0.7097340144037185
TUMAKURU,115867.75826352827,79957.31424865605,0.1840730770115737,0.8159269229884264,0.9829173610494797,0.9829173610494795,813.792503419839,664.0358020514971,0.1840730770115738,0.8159269229884266
CHIKKAMAGALURU,199783.99323536915,135901.47089654996,0.3550021858677894,0.6449978141322101,0.8754310103968419,0.8754310103968416,1163.7469215670772,897.3387474829892,0.3550021858677894,0.6449978141322108
